Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	signal peptide	50	32.4675324675	6.54910660173e-07	38646_S_AT, 31621_S_AT, 33077_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 1855_AT, 35956_S_AT, 33979_AT, 40350_AT, 38236_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 1645_AT, 37172_AT, 36766_AT, 1786_AT, 34546_AT, 31987_AT, 31512_AT, 37096_AT, 1890_AT, 37898_R_AT, 40294_AT, 1372_AT, 36436_AT, 37105_AT, 35566_F_AT, 33963_AT, 38926_AT, 33684_AT, 33530_AT, 35903_AT, 37408_AT, 37061_AT, 679_AT, 34618_AT, 31506_S_AT, 32469_AT, 38604_AT, 31793_AT, 1331_S_AT, 35169_AT, 34623_AT, 36703_AT, 36328_AT, 38508_S_AT, 2090_I_AT	146	3250	19113	2.01401475237	0.00042494684212	0.00042494684212	0.000977637274591
SP_PIR_KEYWORDS	signal	50	32.4675324675	8.55262903668e-07	38646_S_AT, 31621_S_AT, 33077_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 1855_AT, 35956_S_AT, 33979_AT, 40350_AT, 38236_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 1645_AT, 37172_AT, 36766_AT, 1786_AT, 34546_AT, 31987_AT, 31512_AT, 37096_AT, 1890_AT, 37898_R_AT, 40294_AT, 1372_AT, 36436_AT, 37105_AT, 35566_F_AT, 33963_AT, 38926_AT, 33684_AT, 33530_AT, 35903_AT, 37408_AT, 37061_AT, 679_AT, 34618_AT, 31506_S_AT, 32469_AT, 38604_AT, 31793_AT, 1331_S_AT, 35169_AT, 34623_AT, 36703_AT, 36328_AT, 38508_S_AT, 2090_I_AT	148	3250	19235	1.99948024948	0.000275356855106	0.000275356855106	0.00115521071654
UP_SEQ_FEATURE	disulfide bond	45	29.2207792208	1.2456641953e-06	33963_AT, 38646_S_AT, 38926_AT, 33530_AT, 31621_S_AT, 33077_AT, 33284_AT, 37408_AT, 37968_AT, 34467_G_AT, 35915_AT, 35367_AT, 1355_G_AT, 37061_AT, 679_AT, 35090_G_AT, 35956_S_AT, 37983_AT, 35091_AT, 37953_S_AT, 31506_S_AT, 33979_AT, 32439_AT, 40350_AT, 31793_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1331_S_AT, 1901_S_AT, 36766_AT, 37172_AT, 34623_AT, 1786_AT, 34546_AT, 31987_AT, 37096_AT, 31512_AT, 36703_AT, 36328_AT, 1890_AT, 37898_R_AT, 40317_AT, 38508_S_AT, 1372_AT, 37105_AT, 35566_F_AT	146	2819	19113	2.08974570794	0.000808109869504	0.000404136597947	0.00185949445184
SP_PIR_KEYWORDS	disulfide bond	46	29.8701298701	1.68616863295e-06	38646_S_AT, 33077_AT, 31621_S_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 35090_G_AT, 35956_S_AT, 33979_AT, 40350_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 36766_AT, 37172_AT, 34546_AT, 1786_AT, 31987_AT, 31512_AT, 37096_AT, 1890_AT, 37898_R_AT, 1372_AT, 37105_AT, 35566_F_AT, 33963_AT, 38926_AT, 33530_AT, 37408_AT, 34467_G_AT, 35367_AT, 37061_AT, 679_AT, 37983_AT, 35091_AT, 37953_S_AT, 31506_S_AT, 32439_AT, 31793_AT, 1331_S_AT, 36378_AT, 34623_AT, 36703_AT, 36328_AT, 40317_AT, 38508_S_AT	148	2924	19235	2.04461215662	0.000542799388639	0.000271436533215	0.00227751016066
GOTERM_CC_FAT	GO:0005576~extracellular region	40	25.974025974	6.93450129247e-06	33963_AT, 33530_AT, 33684_AT, 31621_S_AT, 33284_AT, 35915_AT, 35367_AT, 1855_AT, 37061_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 34618_AT, 31506_S_AT, 33979_AT, 40350_AT, 38604_AT, 38691_S_AT, 31793_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1331_S_AT, 35169_AT, 37905_R_AT, 1901_S_AT, 36766_AT, 1645_AT, 37172_AT, 34623_AT, 34546_AT, 37096_AT, 31512_AT, 36703_AT, 36328_AT, 1890_AT, 37898_R_AT, 38508_S_AT, 2090_I_AT, 36436_AT, 35566_F_AT	124	2010	12782	2.05135612261	0.00145519050264	0.00145519050264	0.00876073222223
GOTERM_CC_FAT	GO:0044421~extracellular region part	24	15.5844155844	3.80722952755e-05	33530_AT, 33684_AT, 31621_S_AT, 33284_AT, 35367_AT, 37061_AT, 34618_AT, 31506_S_AT, 38604_AT, 31793_AT, 38691_S_AT, 37454_AT, 1403_S_AT, 32250_AT, 35169_AT, 37905_R_AT, 34623_AT, 37172_AT, 34546_AT, 36703_AT, 1890_AT, 37898_R_AT, 38508_S_AT, 2090_I_AT, 36436_AT	124	960	12782	2.57701612903	0.00796345653875	0.00398968707084	0.0480900879563
GOTERM_MF_FAT	GO:0019825~oxygen binding	6	3.8961038961	3.83291367833e-05	38229_AT, 33516_AT, 1391_S_AT, 31687_F_AT, 31525_S_AT, 37166_AT	117	43	12983	15.4836016696	0.0140441699901	0.0140441699901	0.0528208503966
SP_PIR_KEYWORDS	heme	8	5.19480519481	4.02753043189e-05	34453_AT, 38229_AT, 33284_AT, 33516_AT, 1391_S_AT, 1419_G_AT, 31687_F_AT, 31525_S_AT	148	121	19235	8.59280768372	0.0128851752236	0.00431363913512	0.0543867799893
SP_PIR_KEYWORDS	iron	11	7.14285714286	6.94724108379e-05	32073_AT, 34453_AT, 34636_AT, 38229_AT, 33284_AT, 33516_AT, 1391_S_AT, 1419_G_AT, 31687_F_AT, 31525_S_AT, 37166_AT	148	285	19235	5.01623992413	0.0221225204988	0.00557711318215	0.0937967080143
SP_PIR_KEYWORDS	Secreted	29	18.8311688312	7.1783294807e-05	33684_AT, 31621_S_AT, 35915_AT, 37061_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 34618_AT, 31506_S_AT, 40350_AT, 38604_AT, 37454_AT, 31793_AT, 38691_S_AT, 1403_S_AT, 1112_G_AT, 1331_S_AT, 32250_AT, 35169_AT, 1645_AT, 37172_AT, 34623_AT, 34546_AT, 36703_AT, 36328_AT, 1890_AT, 37898_R_AT, 38508_S_AT, 2090_I_AT, 36436_AT, 35566_F_AT	148	1689	19235	2.23150992911	0.0228499443699	0.00461234045207	0.0969152987709
