Annotation Cluster 1	EnrichmentScore:4.81021755101
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	signal peptide	50	32.4675324675	6.54910660173e-07	38646_S_AT, 31621_S_AT, 33077_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 1855_AT, 35956_S_AT, 33979_AT, 40350_AT, 38236_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 1645_AT, 37172_AT, 36766_AT, 1786_AT, 34546_AT, 31987_AT, 31512_AT, 37096_AT, 1890_AT, 37898_R_AT, 40294_AT, 1372_AT, 36436_AT, 37105_AT, 35566_F_AT, 33963_AT, 38926_AT, 33684_AT, 33530_AT, 35903_AT, 37408_AT, 37061_AT, 679_AT, 34618_AT, 31506_S_AT, 32469_AT, 38604_AT, 31793_AT, 1331_S_AT, 35169_AT, 34623_AT, 36703_AT, 36328_AT, 38508_S_AT, 2090_I_AT	146	3250	19113	2.01401475237	0.00042494684212	0.00042494684212	0.000977637274591
SP_PIR_KEYWORDS	signal	50	32.4675324675	8.55262903668e-07	38646_S_AT, 31621_S_AT, 33077_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 1855_AT, 35956_S_AT, 33979_AT, 40350_AT, 38236_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 1645_AT, 37172_AT, 36766_AT, 1786_AT, 34546_AT, 31987_AT, 31512_AT, 37096_AT, 1890_AT, 37898_R_AT, 40294_AT, 1372_AT, 36436_AT, 37105_AT, 35566_F_AT, 33963_AT, 38926_AT, 33684_AT, 33530_AT, 35903_AT, 37408_AT, 37061_AT, 679_AT, 34618_AT, 31506_S_AT, 32469_AT, 38604_AT, 31793_AT, 1331_S_AT, 35169_AT, 34623_AT, 36703_AT, 36328_AT, 38508_S_AT, 2090_I_AT	148	3250	19235	1.99948024948	0.000275356855106	0.000275356855106	0.00115521071654
UP_SEQ_FEATURE	disulfide bond	45	29.2207792208	1.2456641953e-06	33963_AT, 38646_S_AT, 38926_AT, 33530_AT, 31621_S_AT, 33077_AT, 33284_AT, 37408_AT, 37968_AT, 34467_G_AT, 35915_AT, 35367_AT, 1355_G_AT, 37061_AT, 679_AT, 35090_G_AT, 35956_S_AT, 37983_AT, 35091_AT, 37953_S_AT, 31506_S_AT, 33979_AT, 32439_AT, 40350_AT, 31793_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1331_S_AT, 1901_S_AT, 36766_AT, 37172_AT, 34623_AT, 1786_AT, 34546_AT, 31987_AT, 37096_AT, 31512_AT, 36703_AT, 36328_AT, 1890_AT, 37898_R_AT, 40317_AT, 38508_S_AT, 1372_AT, 37105_AT, 35566_F_AT	146	2819	19113	2.08974570794	0.000808109869504	0.000404136597947	0.00185949445184
SP_PIR_KEYWORDS	disulfide bond	46	29.8701298701	1.68616863295e-06	38646_S_AT, 33077_AT, 31621_S_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 35090_G_AT, 35956_S_AT, 33979_AT, 40350_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 36766_AT, 37172_AT, 34546_AT, 1786_AT, 31987_AT, 31512_AT, 37096_AT, 1890_AT, 37898_R_AT, 1372_AT, 37105_AT, 35566_F_AT, 33963_AT, 38926_AT, 33530_AT, 37408_AT, 34467_G_AT, 35367_AT, 37061_AT, 679_AT, 37983_AT, 35091_AT, 37953_S_AT, 31506_S_AT, 32439_AT, 31793_AT, 1331_S_AT, 36378_AT, 34623_AT, 36703_AT, 36328_AT, 40317_AT, 38508_S_AT	148	2924	19235	2.04461215662	0.000542799388639	0.000271436533215	0.00227751016066
GOTERM_CC_FAT	GO:0005576~extracellular region	40	25.974025974	6.93450129247e-06	33963_AT, 33530_AT, 33684_AT, 31621_S_AT, 33284_AT, 35915_AT, 35367_AT, 1855_AT, 37061_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 34618_AT, 31506_S_AT, 33979_AT, 40350_AT, 38604_AT, 38691_S_AT, 31793_AT, 37454_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1331_S_AT, 35169_AT, 37905_R_AT, 1901_S_AT, 36766_AT, 1645_AT, 37172_AT, 34623_AT, 34546_AT, 37096_AT, 31512_AT, 36703_AT, 36328_AT, 1890_AT, 37898_R_AT, 38508_S_AT, 2090_I_AT, 36436_AT, 35566_F_AT	124	2010	12782	2.05135612261	0.00145519050264	0.00145519050264	0.00876073222223
GOTERM_CC_FAT	GO:0044421~extracellular region part	24	15.5844155844	3.80722952755e-05	33530_AT, 33684_AT, 31621_S_AT, 33284_AT, 35367_AT, 37061_AT, 34618_AT, 31506_S_AT, 38604_AT, 31793_AT, 38691_S_AT, 37454_AT, 1403_S_AT, 32250_AT, 35169_AT, 37905_R_AT, 34623_AT, 37172_AT, 34546_AT, 36703_AT, 1890_AT, 37898_R_AT, 38508_S_AT, 2090_I_AT, 36436_AT	124	960	12782	2.57701612903	0.00796345653875	0.00398968707084	0.0480900879563
SP_PIR_KEYWORDS	Secreted	29	18.8311688312	7.1783294807e-05	33684_AT, 31621_S_AT, 35915_AT, 37061_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 34618_AT, 31506_S_AT, 40350_AT, 38604_AT, 37454_AT, 31793_AT, 38691_S_AT, 1403_S_AT, 1112_G_AT, 1331_S_AT, 32250_AT, 35169_AT, 1645_AT, 37172_AT, 34623_AT, 34546_AT, 36703_AT, 36328_AT, 1890_AT, 37898_R_AT, 38508_S_AT, 2090_I_AT, 36436_AT, 35566_F_AT	148	1689	19235	2.23150992911	0.0228499443699	0.00461234045207	0.0969152987709
GOTERM_CC_FAT	GO:0005615~extracellular space	19	12.3376623377	9.38018717445e-05	33684_AT, 33530_AT, 38604_AT, 37454_AT, 38691_S_AT, 31793_AT, 33284_AT, 1403_S_AT, 32250_AT, 37905_R_AT, 37061_AT, 37172_AT, 34623_AT, 34546_AT, 36703_AT, 34618_AT, 1890_AT, 38508_S_AT, 31506_S_AT, 36436_AT	124	685	12782	2.85917117966	0.0195065532983	0.00654492704989	0.118445137893
SP_PIR_KEYWORDS	glycoprotein	53	34.4155844156	0.000234910339504	38646_S_AT, 33077_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 1855_AT, 33293_AT, 35090_G_AT, 35956_S_AT, 1575_AT, 33979_AT, 40350_AT, 1974_S_AT, 38236_AT, 1403_S_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 37172_AT, 36766_AT, 1786_AT, 31987_AT, 37096_AT, 1890_AT, 37097_AT, 1372_AT, 37105_AT, 34436_AT, 35566_F_AT, 33963_AT, 38926_AT, 33684_AT, 33530_AT, 35903_AT, 37408_AT, 31525_S_AT, 34467_G_AT, 679_AT, 37983_AT, 35091_AT, 35121_AT, 34618_AT, 37953_S_AT, 32469_AT, 32439_AT, 32084_AT, 1331_S_AT, 35169_AT, 36378_AT, 36328_AT, 31687_F_AT, 40317_AT, 38508_S_AT, 2090_I_AT	148	4318	19235	1.59523146352	0.0728593650438	0.0075364589117	0.316831346996
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	48	31.1688311688	0.00160871639781	33077_AT, 33284_AT, 35915_AT, 37968_AT, 1355_G_AT, 1855_AT, 33293_AT, 35090_G_AT, 35956_S_AT, 1575_AT, 33979_AT, 40350_AT, 38236_AT, 1112_G_AT, 32250_AT, 1901_S_AT, 37172_AT, 36766_AT, 1786_AT, 31987_AT, 37096_AT, 1890_AT, 37097_AT, 1372_AT, 37105_AT, 34436_AT, 35566_F_AT, 33963_AT, 38926_AT, 33684_AT, 33530_AT, 35903_AT, 37408_AT, 34467_G_AT, 679_AT, 37983_AT, 34618_AT, 35121_AT, 35091_AT, 37953_S_AT, 32439_AT, 32469_AT, 32084_AT, 1331_S_AT, 36378_AT, 35169_AT, 36328_AT, 40317_AT, 38508_S_AT, 2090_I_AT	146	4129	19113	1.52185178673	0.648272179496	0.159828806913	2.37475194422
