From	To	Species	Gene Name
RADA	9418064	Halalkalicoccus jeotgali B3	DNA repair and recombination protein RadA(radA)
RADA	9442813	Amycolatopsis mediterranei U32	DNA repair protein RadA/Sms(radA)
RADA	3997415	Methanococcoides burtonii DSM 6242	DNA repair and recombination protein RadA(radA)
RADA	7272209	Methanosphaerula palustris E1-9c	DNA repair and recombination protein RadA(radA)
RADA	24819741	Candidatus Nitrosopumilus adriaticus	DNA repair and recombination protein RadA(radA)
RADA	8410705	Halomicrobium mukohataei DSM 12286	DNA repair and recombination protein RadA(radA)
RADA	948912	Escherichia coli str. K-12 substr. MG1655	DNA repair protein(radA)
RADA	4617625	Pyrobaculum islandicum DSM 4184	DNA repair and recombination protein RadA(radA)
RADA	24857763	Methanosarcina sp. MTP4	DNA repair and recombination protein RadA(radA)
RADA	25143882	Halostagnicola larsenii XH-48	DNA repair and recombination protein RadA(radA)
RADA	7152831	Escherichia coli IAI39	DNA repair protein RadA(radA)
RADA	6942679	Thermodesulfovibrio yellowstonii DSM 11347	DNA repair protein RadA(radA)
RADA	9903930	Gardnerella vaginalis ATCC 14019	DNA repair protein RadA(radA)
RADA	9347841	Methanohalobium evestigatum Z-7303	DNA repair and recombination protein RadA(radA)
RADA	4488007	Aeromonas hydrophila subsp. hydrophila ATCC 7966	DNA repair protein RadA(radA)
RADA	1133115	Agrobacterium fabrum str. C58	DNA repair protein(radA)
RADA	24798328	Geoglobus acetivorans	DNA repair and recombination protein RadA(radA)
RADA	9743155	Methanolacinia petrolearia DSM 11571	DNA repair and recombination protein RadA(radA)
RADA	11970531	Methanocella conradii HZ254	DNA repair and recombination protein RadA(radA)
RADA	4601632	Thermofilum pendens Hrk 5	DNA repair and recombination protein RadA(radA)
RADA	3922569	Methanospirillum hungatei JF-1	DNA repair and recombination protein RadA(radA)
RADA	24803461	Geoglobus ahangari	DNA repair and recombination protein RadA(radA)
RADA	25244395	Haloferax gibbonsii	DNA repair and recombination protein RadA(radA)
RADA	910137	Mycobacterium leprae TN	pseudo(radA)
RADA	1209328	Coxiella burnetii RSA 493	DNA repair protein RadA(radA)
RADA	24799389	Methanosarcina barkeri 227	DNA repair and recombination protein RadA(radA)
RADA	25405813	Thermofilum carboxyditrophus 1505	DNA repair and recombination protein RadA(radA)
RADA	27136631	Methanoculleus sp. MAB1	DNA repair and recombination protein RadA(radA)
RADA	1475438	Methanosarcina acetivorans C2A	DNA repair and recombination protein RadA(radA)
RADA	24816961	Candidatus Nitrosopelagicus brevis	DNA repair and recombination protein RadA(radA)
RADA	13842953	Methanolobus psychrophilus R15	DNA repair and recombination protein RadA(radA)
RADA	1012246	Thermosynechococcus elongatus BP-1	DNA repair protein RadA(radA)
RADA	1006555	Chlorobium tepidum TLS	DNA repair protein RadA(radA)
RADA	8740774	Haloterrigena turkmenica DSM 5511	DNA repair and recombination protein RadA(radA)
RADA	4795970	Methanocorpusculum labreanum Z	DNA repair and recombination protein RadA(radA)
RADA	10361336	Thermoproteus uzoniensis 768-20	DNA repair and recombination protein RadA(radA)
RADA	11636589	Acinetobacter pittii PHEA-2	DNA repair protein(radA)
RADA	9889641	Bifidobacterium bifidum PRL2010	DNA repair protein RadA(radA)
RADA	3191647	Francisella tularensis subsp. tularensis SCHU S4	DNA repair protein RadA(radA)
RADA	16182231	Salinarchaeum sp. Harcht-Bsk1	DNA repair and recombination protein RadA(radA)
RADA	5399755	Clostridium botulinum A str. Hall	DNA repair protein RadA(radA)
RADA	5145504	Methanocella arvoryzae MRE50	DNA repair and recombination protein RadA(radA)
RADA	1115741	Lactococcus lactis subsp. lactis Il1403	DNA repair protein RadA(radA)
RADA	2665330	Bordetella pertussis Tohama I	DNA repair protein RadA(radA)
RADA	933443	Streptococcus pneumoniae R6	DNA repair protein RadA(radA)
RADA	5299764	Flavobacterium psychrophilum JIP02/86	DNA repair protein RadA(radA)
RADA	3092056	Burkholderia pseudomallei K96243	DNA repair protein RadA(radA)
RADA	12373550	Ketogulonicigenium vulgare WSH-001	DNA repair protein radA(radA)
